"vulnerability_rank","IGZ","CPP","Indicator","BaseYear","Change","ChangeAv","InterZone_Name","group","label","CommunityValue_BaseYear","CommunityValue_RecentYear","CPPAverage_BaseYear","CPPAverage_RecentYear"
2,"S02001464","Dundee City","Attainment","2013/14",-6.3,-3.27,"Linlathen and Midcraigie","Attainment Linlathen and Midcraigie"," ","4.76","4.46",5.35,5.18
2,"S02001464","Dundee City","Child Poverty","2014/15",-9.75,-3.39,"Linlathen and Midcraigie","Child Poverty Linlathen and Midcraigie"," ","20.72","22.74",17.72,18.32
2,"S02001464","Dundee City","Crime Rate","2012/13",-61,NA,"Linlathen and Midcraigie","Crime Rate Linlathen and Midcraigie"," ","1848.44","2984.5",17.72,1634
2,"S02001464","Dundee City","Depopulation","2012/13",0.49,0.21,"Linlathen and Midcraigie","Depopulation Linlathen and Midcraigie"," ","100","99.51",100,99.79
2,"S02001464","Dundee City","Early Mortality","2012/13",5,8,"Linlathen and Midcraigie","Early Mortality Linlathen and Midcraigie"," ","862","814.9",596,548
2,"S02001464","Dundee City","Emergency Admissions","2012/13",-1,-12,"Linlathen and Midcraigie","Emergency Admissions Linlathen and Midcraigie"," ","29668.67","29933.47",26055,29095
2,"S02001464","Dundee City","Out of Work Benefits","2013/14",-21.13,-20.57,"Linlathen and Midcraigie","Out of Work Benefits Linlathen and Midcraigie"," ","28.4","34.4",16.09,19.4
2,"S02001464","Dundee City","Participation Rate","2016/17",-0.59,2.2,"Linlathen and Midcraigie","Participation Rate Linlathen and Midcraigie"," ","84.2","83.7",87.56,89.48
2,"S02001493","East Ayrshire","Attainment","2013/14",0.63,0.02,"Shortlees","Attainment Shortlees"," ","4.75","4.78",5.39,5.39
2,"S02001493","East Ayrshire","Child Poverty","2014/15",0.8,-7.61,"Shortlees","Child Poverty Shortlees"," ","31.16","30.91",19.52,21
2,"S02001493","East Ayrshire","Crime Rate","2012/13",26,40,"Shortlees","Crime Rate Shortlees"," ","1986.66","1469.33",2132,1274
2,"S02001493","East Ayrshire","Depopulation","2012/13",-3.24,-2.49,"Shortlees","Depopulation Shortlees"," ","100","103.24",100,102.49
2,"S02001493","East Ayrshire","Early Mortality","2012/13",-9,-3,"Shortlees","Early Mortality Shortlees"," ","633","687",511,525
2,"S02001493","East Ayrshire","Emergency Admissions","2012/13",7,9,"Shortlees","Emergency Admissions Shortlees"," ","37185.93","34681.97",30637,27775
2,"S02001493","East Ayrshire","Out of Work Benefits","2013/14",-32.93,-27.35,"Shortlees","Out of Work Benefits Shortlees"," ","27.33","36.33",15.87,20.2
2,"S02001493","East Ayrshire","Participation Rate","2016/17",10.6,3.5,"Shortlees","Participation Rate Shortlees"," ","79.41","87.83",89.02,92.14
2,"S02001531","East Dunbartonshire","Attainment","2013/14",-3,1.92,"Harestanes","Attainment Harestanes"," ","5.66","5.49",6,6.11
2,"S02001531","East Dunbartonshire","Child Poverty","2014/15",-49.29,4.38,"Harestanes","Child Poverty Harestanes"," ","15.52","23.17",8.54,8.17
2,"S02001531","East Dunbartonshire","Crime Rate","2012/13",19,NA,"Harestanes","Crime Rate Harestanes"," ","1217.6","981.87",8.54,538
2,"S02001531","East Dunbartonshire","Depopulation","2012/13",-10.13,2.13,"Harestanes","Depopulation Harestanes"," ","100","110.13",100,97.87
2,"S02001531","East Dunbartonshire","Early Mortality","2012/13",17,16,"Harestanes","Early Mortality Harestanes"," ","611","506.61",344,289
2,"S02001531","East Dunbartonshire","Emergency Admissions","2012/13",-5,13,"Harestanes","Emergency Admissions Harestanes"," ","27323.94","28652.34",24567,21360
2,"S02001531","East Dunbartonshire","Out of Work Benefits","2013/14",-57.53,-28.18,"Harestanes","Out of Work Benefits Harestanes"," ","15.8","24.89",7.46,9.57
2,"S02001531","East Dunbartonshire","Participation Rate","2016/17",2.85,0.57,"Harestanes","Participation Rate Harestanes"," ","91.11","93.71",95.52,96.07
2,"S02001541","East Lothian","Attainment","2013/14",1.37,-1.16,"Prestonpans South","Attainment Prestonpans South"," ","5.1","5.17",5.54,5.47
2,"S02001541","East Lothian","Child Poverty","2014/15",14.35,18.45,"Prestonpans South","Child Poverty Prestonpans South"," ","17.07","14.62",13.94,11.37
2,"S02001541","East Lothian","Crime Rate","2012/13",-101,-66,"Prestonpans South","Crime Rate Prestonpans South"," ","994.07","2000.07",846,1406
2,"S02001541","East Lothian","Depopulation","2012/13",0.44,8.66,"Prestonpans South","Depopulation Prestonpans South"," ","100","99.56",100,91.34
2,"S02001541","East Lothian","Early Mortality","2012/13",10,17,"Prestonpans South","Early Mortality Prestonpans South"," ","407","366.76",414,345
2,"S02001541","East Lothian","Emergency Admissions","2012/13",20,16,"Prestonpans South","Emergency Admissions Prestonpans South"," ","29674.8","23805.45",23511,19759
2,"S02001541","East Lothian","Out of Work Benefits","2013/14",-25.38,-23.77,"Prestonpans South","Out of Work Benefits Prestonpans South"," ","11.78","14.77",9.59,11.87
2,"S02001541","East Lothian","Participation Rate","2016/17",12.06,5.06,"Prestonpans South","Participation Rate Prestonpans South"," ","83.78","93.88",90.27,94.84
2,"S02001558","East Renfrewshire","Attainment","2013/14",-0.93,1.33,"Dunterlie, East Arthurlie and Dovecothall","Attainment Dunterlie, East Arthurlie and Dovecothall"," ","5.4","5.35",6.08,6.16
2,"S02001558","East Renfrewshire","Child Poverty","2014/15",9.1,11.67,"Dunterlie, East Arthurlie and Dovecothall","Child Poverty Dunterlie, East Arthurlie and Dovecothall"," ","22.3","20.27",9.03,7.98
2,"S02001558","East Renfrewshire","Crime Rate","2012/13",39,50,"Dunterlie, East Arthurlie and Dovecothall","Crime Rate Dunterlie, East Arthurlie and Dovecothall"," ","3794.8","2314.57",1174,587
2,"S02001558","East Renfrewshire","Depopulation","2012/13",-0.28,5.38,"Dunterlie, East Arthurlie and Dovecothall","Depopulation Dunterlie, East Arthurlie and Dovecothall"," ","100","100.28",100,94.62
2,"S02001558","East Renfrewshire","Early Mortality","2012/13",23,14,"Dunterlie, East Arthurlie and Dovecothall","Early Mortality Dunterlie, East Arthurlie and Dovecothall"," ","799","614.9",347,298
2,"S02001558","East Renfrewshire","Emergency Admissions","2012/13",31,19,"Dunterlie, East Arthurlie and Dovecothall","Emergency Admissions Dunterlie, East Arthurlie and Dovecothall"," ","36026.2","24811.62",24725,19931
2,"S02001558","East Renfrewshire","Out of Work Benefits","2013/14",-29.37,-19.56,"Dunterlie, East Arthurlie and Dovecothall","Out of Work Benefits Dunterlie, East Arthurlie and Dovecothall"," ","21.21","27.44",7.21,8.62
2,"S02001558","East Renfrewshire","Participation Rate","2016/17",8.26,0.65,"Dunterlie, East Arthurlie and Dovecothall","Participation Rate Dunterlie, East Arthurlie and Dovecothall"," ","88.46","95.77",96.12,96.74
2,"S02001584","Edinburgh, City of","Attainment","2013/14",-4.49,2.16,"Murrayburn and Wester Hailes North","Attainment Murrayburn and Wester Hailes North"," ","4.9","4.68",5.56,5.68
2,"S02001584","Edinburgh, City of","Child Poverty","2014/15",-34.39,-14.23,"Murrayburn and Wester Hailes North","Child Poverty Murrayburn and Wester Hailes North"," ","22.65","30.44",10.69,12.21
2,"S02001584","Edinburgh, City of","Crime Rate","2012/13",-4,7,"Murrayburn and Wester Hailes North","Crime Rate Murrayburn and Wester Hailes North"," ","2987.99","3106.73",1262,1170
2,"S02001584","Edinburgh, City of","Depopulation","2012/13",-5.48,5.6,"Murrayburn and Wester Hailes North","Depopulation Murrayburn and Wester Hailes North"," ","100","105.48",100,94.4
2,"S02001584","Edinburgh, City of","Early Mortality","2012/13",-2,15,"Murrayburn and Wester Hailes North","Early Mortality Murrayburn and Wester Hailes North"," ","837","852.76",470,400
2,"S02001584","Edinburgh, City of","Emergency Admissions","2012/13",11,12,"Murrayburn and Wester Hailes North","Emergency Admissions Murrayburn and Wester Hailes North"," ","34868.42","31124.24",25325,22315
2,"S02001584","Edinburgh, City of","Out of Work Benefits","2013/14",-24.17,-6.32,"Murrayburn and Wester Hailes North","Out of Work Benefits Murrayburn and Wester Hailes North"," ","32.77","40.69",9.87,10.49
2,"S02001584","Edinburgh, City of","Participation Rate","2016/17",14.1,3.21,"Murrayburn and Wester Hailes North","Participation Rate Murrayburn and Wester Hailes North"," ","75.46","86.1",90.28,93.18
2,"S02001694","Eilean Siar","Attainment","2013/14",-8.74,-4.42,"Stornoway East","Attainment Stornoway East"," ","5.72","5.22",5.7,5.45
2,"S02001694","Eilean Siar","Child Poverty","2014/15",-105.51,-20.77,"Stornoway East","Child Poverty Stornoway East"," ","9.98","20.51",11.42,13.79
2,"S02001694","Eilean Siar","Crime Rate","2012/13",-230,-483,"Stornoway East","Crime Rate Stornoway East"," ","364.35","1200.93",132,772
2,"S02001694","Eilean Siar","Depopulation","2012/13",-16.57,-5.7,"Stornoway East","Depopulation Stornoway East"," ","100","116.57",100,105.7
2,"S02001694","Eilean Siar","Early Mortality","2012/13",24,11,"Stornoway East","Early Mortality Stornoway East"," ","690","524.91",478,424
2,"S02001694","Eilean Siar","Emergency Admissions","2012/13",-7,-4,"Stornoway East","Emergency Admissions Stornoway East"," ","27912.93","29884.93",24465,25346
2,"S02001694","Eilean Siar","Out of Work Benefits","2013/14",-27.92,-14.11,"Stornoway East","Out of Work Benefits Stornoway East"," ","11.21","14.34",9.65,11.01
2,"S02001694","Eilean Siar","Participation Rate","2016/17",-0.08,1.58,"Stornoway East","Participation Rate Stornoway East"," ","98.1","98.02",95.87,97.39
2,"S02001718","Falkirk","Attainment","2013/14",2.59,0.45,"Falkirk - Camelon West","Attainment Falkirk - Camelon West"," ","5.01","5.14",5.47,5.5
2,"S02001718","Falkirk","Child Poverty","2014/15",4.43,-5.3,"Falkirk - Camelon West","Child Poverty Falkirk - Camelon West"," ","29.78","28.46",17.19,18.1
2,"S02001718","Falkirk","Crime Rate","2012/13",34,18,"Falkirk - Camelon West","Crime Rate Falkirk - Camelon West"," ","1570.74","1033.3",1412,1151
2,"S02001718","Falkirk","Depopulation","2012/13",-7.8,-0.29,"Falkirk - Camelon West","Depopulation Falkirk - Camelon West"," ","100","107.8",100,100.29
2,"S02001718","Falkirk","Early Mortality","2012/13",-34,-2,"Falkirk - Camelon West","Early Mortality Falkirk - Camelon West"," ","578","773.4",461,470
2,"S02001718","Falkirk","Emergency Admissions","2012/13",-26,-9,"Falkirk - Camelon West","Emergency Admissions Falkirk - Camelon West"," ","28498.73","35923.78",24210,26352
2,"S02001718","Falkirk","Out of Work Benefits","2013/14",-21.93,-23.86,"Falkirk - Camelon West","Out of Work Benefits Falkirk - Camelon West"," ","21.02","25.63",12.58,15.59
2,"S02001718","Falkirk","Participation Rate","2016/17",-5.04,1.52,"Falkirk - Camelon West","Participation Rate Falkirk - Camelon West"," ","87.5","83.09",89.79,91.16
2,"S02001800","Fife","Attainment","2013/14",3.38,-0.09,"Glenrothes Macedonia and Tanshall","Attainment Glenrothes Macedonia and Tanshall"," ","4.73","4.89",5.41,5.41
2,"S02001800","Fife","Child Poverty","2014/15",12.21,-0.89,"Glenrothes Macedonia and Tanshall","Child Poverty Glenrothes Macedonia and Tanshall"," ","30.06","26.39",17.59,17.75
2,"S02001800","Fife","Crime Rate","2012/13",20,-29,"Glenrothes Macedonia and Tanshall","Crime Rate Glenrothes Macedonia and Tanshall"," ","1771.77","1410.79",923,1192
2,"S02001800","Fife","Depopulation","2012/13",1.89,0.57,"Glenrothes Macedonia and Tanshall","Depopulation Glenrothes Macedonia and Tanshall"," ","100","98.11",100,99.43
2,"S02001800","Fife","Early Mortality","2012/13",-7,3,"Glenrothes Macedonia and Tanshall","Early Mortality Glenrothes Macedonia and Tanshall"," ","648","691.57",446,431
2,"S02001800","Fife","Emergency Admissions","2012/13",-41,-13,"Glenrothes Macedonia and Tanshall","Emergency Admissions Glenrothes Macedonia and Tanshall"," ","20727.85","29229.73",22948,25995
2,"S02001800","Fife","Out of Work Benefits","2013/14",-19.43,-29.09,"Glenrothes Macedonia and Tanshall","Out of Work Benefits Glenrothes Macedonia and Tanshall"," ","25.68","30.67",12.64,16.32
2,"S02001800","Fife","Participation Rate","2016/17",3.22,2.91,"Glenrothes Macedonia and Tanshall","Participation Rate Glenrothes Macedonia and Tanshall"," ","84.77","87.5",88.84,91.43
2,"S02001976","Glasgow City","Attainment","2013/14",13.83,3.45,"Drumry East","Attainment Drumry East"," ","4.41","5.02",5.25,5.43
2,"S02001976","Glasgow City","Child Poverty","2014/15",15.87,-13.77,"Drumry East","Child Poverty Drumry East"," ","30.31","25.5",22.4,25.49
2,"S02001976","Glasgow City","Crime Rate","2012/13",63,61,"Drumry East","Crime Rate Drumry East"," ","5139.41","1880.13",3820,1480
2,"S02001976","Glasgow City","Depopulation","2012/13",4.4,3.89,"Drumry East","Depopulation Drumry East"," ","100","95.6",100,96.11
2,"S02001976","Glasgow City","Early Mortality","2012/13",-11,11,"Drumry East","Early Mortality Drumry East"," ","851","944.3",703,624
2,"S02001976","Glasgow City","Emergency Admissions","2012/13",26,13,"Drumry East","Emergency Admissions Drumry East"," ","56750","41979.55",34269,29806
2,"S02001976","Glasgow City","Out of Work Benefits","2013/14",-13.38,-8.37,"Drumry East","Out of Work Benefits Drumry East"," ","36.41","41.28",19.83,21.49
2,"S02001976","Glasgow City","Participation Rate","2016/17",-2.79,3.96,"Drumry East","Participation Rate Drumry East"," ","86.34","83.93",87.37,90.83
2,"S02002000","Highland","Attainment","2013/14",-1.43,-1.07,"Inverness Ballifeary and Dalneigh","Attainment Inverness Ballifeary and Dalneigh"," ","4.88","4.81",5.5,5.44
2,"S02002000","Highland","Child Poverty","2014/15",-7.01,-6.03,"Inverness Ballifeary and Dalneigh","Child Poverty Inverness Ballifeary and Dalneigh"," ","22.83","24.43",14.65,15.54
2,"S02002000","Highland","Crime Rate","2012/13",-78,-297,"Inverness Ballifeary and Dalneigh","Crime Rate Inverness Ballifeary and Dalneigh"," ","892.56","1592.67",331,1313
2,"S02002000","Highland","Depopulation","2012/13",-12.84,-0.15,"Inverness Ballifeary and Dalneigh","Depopulation Inverness Ballifeary and Dalneigh"," ","100","112.84",100,100.15
2,"S02002000","Highland","Early Mortality","2012/13",23,8,"Inverness Ballifeary and Dalneigh","Early Mortality Inverness Ballifeary and Dalneigh"," ","717","553.5",432,399
2,"S02002000","Highland","Emergency Admissions","2012/13",9,6,"Inverness Ballifeary and Dalneigh","Emergency Admissions Inverness Ballifeary and Dalneigh"," ","27578.72","24976.66",21523,20234
2,"S02002000","Highland","Out of Work Benefits","2013/14",-65.99,-38.54,"Inverness Ballifeary and Dalneigh","Out of Work Benefits Inverness Ballifeary and Dalneigh"," ","13.85","22.99",9.2,12.74
2,"S02002000","Highland","Participation Rate","2016/17",6.75,-0.5,"Inverness Ballifeary and Dalneigh","Participation Rate Inverness Ballifeary and Dalneigh"," ","82.87","88.46",93.38,92.91
2,"S02002049","Inverclyde","Attainment","2013/14",2.33,-0.35,"Port Glasgow Mid, East and Central","Attainment Port Glasgow Mid, East and Central"," ","5.15","5.27",5.62,5.6
2,"S02002049","Inverclyde","Child Poverty","2014/15",-1.07,-7.07,"Port Glasgow Mid, East and Central","Child Poverty Port Glasgow Mid, East and Central"," ","23.41","23.66",14.19,15.2
2,"S02002049","Inverclyde","Crime Rate","2012/13",36,43,"Port Glasgow Mid, East and Central","Crime Rate Port Glasgow Mid, East and Central"," ","1913.6","1224.34",1940,1100
2,"S02002049","Inverclyde","Depopulation","2012/13",-8.56,-3.88,"Port Glasgow Mid, East and Central","Depopulation Port Glasgow Mid, East and Central"," ","100","108.56",100,103.88
2,"S02002049","Inverclyde","Early Mortality","2012/13",18,9,"Port Glasgow Mid, East and Central","Early Mortality Port Glasgow Mid, East and Central"," ","713","584.08",551,503
2,"S02002049","Inverclyde","Emergency Admissions","2012/13",10,15,"Port Glasgow Mid, East and Central","Emergency Admissions Port Glasgow Mid, East and Central"," ","29955.95","26915.49",27954,23879
2,"S02002049","Inverclyde","Out of Work Benefits","2013/14",-22.82,-22.02,"Port Glasgow Mid, East and Central","Out of Work Benefits Port Glasgow Mid, East and Central"," ","25.86","31.76",16.29,19.88
2,"S02002049","Inverclyde","Participation Rate","2016/17",6.7,1.96,"Port Glasgow Mid, East and Central","Participation Rate Port Glasgow Mid, East and Central"," ","86.85","92.67",91.35,93.13
2,"S02002071","Midlothian","Attainment","2013/14",4.73,0.02,"North Gorebridge","Attainment North Gorebridge"," ","4.86","5.09",5.42,5.42
2,"S02002071","Midlothian","Child Poverty","2014/15",27.74,-2.24,"North Gorebridge","Child Poverty North Gorebridge"," ","23.83","17.22",14.54,14.87
2,"S02002071","Midlothian","Crime Rate","2012/13",38,4,"North Gorebridge","Crime Rate North Gorebridge"," ","1302.84","806",1273,1227
2,"S02002071","Midlothian","Depopulation","2012/13",28.88,10.58,"North Gorebridge","Depopulation North Gorebridge"," ","100","71.12",100,89.42
2,"S02002071","Midlothian","Early Mortality","2012/13",19,-2,"North Gorebridge","Early Mortality North Gorebridge"," ","589","475.03",420,427
2,"S02002071","Midlothian","Emergency Admissions","2012/13",24,15,"North Gorebridge","Emergency Admissions North Gorebridge"," ","35326.09","26705.24",25046,21361
2,"S02002071","Midlothian","Out of Work Benefits","2013/14",1.83,-21.49,"North Gorebridge","Out of Work Benefits North Gorebridge"," ","17.53","17.21",11.91,14.47
2,"S02002071","Midlothian","Participation Rate","2016/17",12.23,6.91,"North Gorebridge","Participation Rate North Gorebridge"," ","81.1","91.02",88.26,94.36
2,"S02002078","Moray","Attainment","2013/14",4.67,-1.47,"Buckie Central East","Attainment Buckie Central East"," ","5.35","5.6",5.52,5.44
2,"S02002078","Moray","Child Poverty","2014/15",-23.96,-19.08,"Buckie Central East","Child Poverty Buckie Central East"," ","16.53","20.49",13.57,16.16
2,"S02002078","Moray","Crime Rate","2012/13",-3,-2,"Buckie Central East","Crime Rate Buckie Central East"," ","1378.82","1421.82",1012,1037
2,"S02002078","Moray","Depopulation","2012/13",-3.02,-0.2,"Buckie Central East","Depopulation Buckie Central East"," ","100","103.02",100,100.2
2,"S02002078","Moray","Early Mortality","2012/13",21,8,"Buckie Central East","Early Mortality Buckie Central East"," ","475","374.04",400,370
2,"S02002078","Moray","Emergency Admissions","2012/13",12,-1,"Buckie Central East","Emergency Admissions Buckie Central East"," ","18896.55","16641.69",17487,17581
2,"S02002078","Moray","Out of Work Benefits","2013/14",-41.3,-50.5,"Buckie Central East","Out of Work Benefits Buckie Central East"," ","12.76","18.03",7.84,11.79
2,"S02002078","Moray","Participation Rate","2016/17",7.71,4.25,"Buckie Central East","Participation Rate Buckie Central East"," ","88.59","95.42",90.89,94.75
2,"S02002111","North Ayrshire","Attainment","2013/14",0.58,0.38,"Saltcoats Central","Attainment Saltcoats Central"," ","5.14","5.17",5.41,5.43
2,"S02002111","North Ayrshire","Child Poverty","2014/15",-21.07,-0.47,"Saltcoats Central","Child Poverty Saltcoats Central"," ","23.97","29.02",20.35,20.45
2,"S02002111","North Ayrshire","Crime Rate","2012/13",22,35,"Saltcoats Central","Crime Rate Saltcoats Central"," ","5586.46","4331.39",2154,1404
2,"S02002111","North Ayrshire","Depopulation","2012/13",-9.87,-2.83,"Saltcoats Central","Depopulation Saltcoats Central"," ","100","109.87",100,102.83
2,"S02002111","North Ayrshire","Early Mortality","2012/13",-19,-2,"Saltcoats Central","Early Mortality Saltcoats Central"," ","738","878.27",516,526
2,"S02002111","North Ayrshire","Emergency Admissions","2012/13",20,3,"Saltcoats Central","Emergency Admissions Saltcoats Central"," ","40625","32512.57",27805,26840
2,"S02002111","North Ayrshire","Out of Work Benefits","2013/14",-39.57,-29.74,"Saltcoats Central","Out of Work Benefits Saltcoats Central"," ","31.06","43.35",17.21,22.33
2,"S02002111","North Ayrshire","Participation Rate","2016/17",0.59,2.01,"Saltcoats Central","Participation Rate Saltcoats Central"," ","84.21","84.71",89.96,91.77
2,"S02002188","North Lanarkshire","Attainment","2013/14",-5.26,-1.24,"Airdrie North","Attainment Airdrie North"," ","4.94","4.68",5.39,5.33
2,"S02002188","North Lanarkshire","Child Poverty","2014/15",-38.15,-1.6,"Airdrie North","Child Poverty Airdrie North"," ","27.13","37.48",18.9,19.2
2,"S02002188","North Lanarkshire","Crime Rate","2012/13",41,40,"Airdrie North","Crime Rate Airdrie North"," ","3231.02","1893",2190,1319
2,"S02002188","North Lanarkshire","Depopulation","2012/13",-21.67,-0.89,"Airdrie North","Depopulation Airdrie North"," ","100","121.67",100,100.89
2,"S02002188","North Lanarkshire","Early Mortality","2012/13",-14,2,"Airdrie North","Early Mortality Airdrie North"," ","764","868.29",555,543
2,"S02002188","North Lanarkshire","Emergency Admissions","2012/13",-27,-6,"Airdrie North","Emergency Admissions Airdrie North"," ","33589.46","42732.76",29416,31054
2,"S02002188","North Lanarkshire","Out of Work Benefits","2013/14",-26.82,-20.26,"Airdrie North","Out of Work Benefits Airdrie North"," ","25.84","32.77",15.31,18.41
2,"S02002188","North Lanarkshire","Participation Rate","2016/17",-1.29,1.93,"Airdrie North","Participation Rate Airdrie North"," ","80.88","79.84",89.21,90.93
2,"S02002216","Orkney Islands","Attainment","2013/14",-1.59,-0.12,"West Kirkwall","Attainment West Kirkwall"," ","5.65","5.56",5.62,5.61
2,"S02002216","Orkney Islands","Child Poverty","2014/15",-33.92,1.7,"West Kirkwall","Child Poverty West Kirkwall"," ","7.99","10.7",12.83,12.62
2,"S02002216","Orkney Islands","Crime Rate","2012/13",-320,-353,"West Kirkwall","Crime Rate West Kirkwall"," ","373.64","1569.58",171,775
2,"S02002216","Orkney Islands","Depopulation","2012/13",-11.09,0.66,"West Kirkwall","Depopulation West Kirkwall"," ","100","111.09",100,99.33
2,"S02002216","Orkney Islands","Early Mortality","2012/13",-6,6,"West Kirkwall","Early Mortality West Kirkwall"," ","515","546.09",369,346
2,"S02002216","Orkney Islands","Emergency Admissions","2012/13",-1,14,"West Kirkwall","Emergency Admissions West Kirkwall"," ","27706.19","27992.24",20828,17877
2,"S02002216","Orkney Islands","Out of Work Benefits","2013/14",-76.24,-61.85,"West Kirkwall","Out of Work Benefits West Kirkwall"," ","8.29","14.61",6.46,10.45
2,"S02002216","Orkney Islands","Participation Rate","2016/17",2.1,-0.74,"West Kirkwall","Participation Rate West Kirkwall"," ","91.61","93.53",94.36,93.66
2,"S02002239","Perth and Kinross","Attainment","2013/14",3.23,-0.16,"Central and South Inch","Attainment Central and South Inch"," ","5.27","5.44",5.6,5.59
2,"S02002239","Perth and Kinross","Child Poverty","2014/15",-32.96,-3.36,"Central and South Inch","Child Poverty Central and South Inch"," ","29.52","39.25",13.52,13.98
2,"S02002239","Perth and Kinross","Crime Rate","2012/13",-18,-39,"Central and South Inch","Crime Rate Central and South Inch"," ","3387.38","3992.22",745,1039
2,"S02002239","Perth and Kinross","Depopulation","2012/13",1.05,3.22,"Central and South Inch","Depopulation Central and South Inch"," ","100","98.95",100,96.78
2,"S02002239","Perth and Kinross","Early Mortality","2012/13",-6,3,"Central and South Inch","Early Mortality Central and South Inch"," ","596","632.88",369,356
2,"S02002239","Perth and Kinross","Emergency Admissions","2012/13",-3,-14,"Central and South Inch","Emergency Admissions Central and South Inch"," ","31259.48","32332.91",22242,25364
2,"S02002239","Perth and Kinross","Out of Work Benefits","2013/14",-11.58,-42.49,"Central and South Inch","Out of Work Benefits Central and South Inch"," ","19.94","22.25",8.24,11.74
2,"S02002239","Perth and Kinross","Participation Rate","2016/17",-2.64,0.07,"Central and South Inch","Participation Rate Central and South Inch"," ","85","82.76",92.3,92.37
2,"S02002264","Renfrewshire","Attainment","2013/14",-2.4,1.08,"Paisley North West","Attainment Paisley North West"," ","5.42","5.29",5.52,5.58
2,"S02002264","Renfrewshire","Child Poverty","2014/15",21.67,-16.57,"Paisley North West","Child Poverty Paisley North West"," ","24.74","19.38",12.87,15.01
2,"S02002264","Renfrewshire","Crime Rate","2012/13",46,51,"Paisley North West","Crime Rate Paisley North West"," ","4570.41","2446.1",1976,965
2,"S02002264","Renfrewshire","Depopulation","2012/13",14.28,3.07,"Paisley North West","Depopulation Paisley North West"," ","100","85.72",100,96.93
2,"S02002264","Renfrewshire","Early Mortality","2012/13",8,13,"Paisley North West","Early Mortality Paisley North West"," ","990","908.08",532,465
2,"S02002264","Renfrewshire","Emergency Admissions","2012/13",22,14,"Paisley North West","Emergency Admissions Paisley North West"," ","37957.61","29439.16",28094,24249
2,"S02002264","Renfrewshire","Out of Work Benefits","2013/14",-0.07,-11.04,"Paisley North West","Out of Work Benefits Paisley North West"," ","27.87","27.89",13.74,15.26
2,"S02002264","Renfrewshire","Participation Rate","2016/17",-0.14,1.93,"Paisley North West","Participation Rate Paisley North West"," ","85.57","85.45",91.1,92.86
2,"S02002316","Scottish Borders","Attainment","2013/14",-3.38,-1.26,"Burnfoot","Attainment Burnfoot"," ","4.74","4.58",5.54,5.47
2,"S02002316","Scottish Borders","Child Poverty","2014/15",-24.82,-9.92,"Burnfoot","Child Poverty Burnfoot"," ","28.81","35.96",15.03,16.52
2,"S02002316","Scottish Borders","Crime Rate","2012/13",-26,-37,"Burnfoot","Crime Rate Burnfoot"," ","1329.42","1669.63",764,1047
2,"S02002316","Scottish Borders","Depopulation","2012/13",-10.35,1.33,"Burnfoot","Depopulation Burnfoot"," ","100","110.35",100,98.67
2,"S02002316","Scottish Borders","Early Mortality","2012/13",-32,5,"Burnfoot","Early Mortality Burnfoot"," ","467","616.91",380,360
2,"S02002316","Scottish Borders","Emergency Admissions","2012/13",6,13,"Burnfoot","Emergency Admissions Burnfoot"," ","28535.98","26793.35",25376,21982
2,"S02002316","Scottish Borders","Out of Work Benefits","2013/14",-62.33,-43.38,"Burnfoot","Out of Work Benefits Burnfoot"," ","21.29","34.56",9.82,14.08
2,"S02002316","Scottish Borders","Participation Rate","2016/17",2.47,3,"Burnfoot","Participation Rate Burnfoot"," ","83.73","85.8",91.34,94.08
2,"S02002327","Shetland Islands","Attainment","2013/14",3.9,0.98,"North Mainland","Attainment North Mainland"," ","5.39","5.6",5.56,5.61
2,"S02002327","Shetland Islands","Child Poverty","2014/15",-28.25,-24.4,"North Mainland","Child Poverty North Mainland"," ","7.47","9.58",7.15,8.89
2,"S02002327","Shetland Islands","Crime Rate","2012/13",-257,-245,"North Mainland","Crime Rate North Mainland"," ","106.44","379.67",162,559
2,"S02002327","Shetland Islands","Depopulation","2012/13",0.37,-0.19,"North Mainland","Depopulation North Mainland"," ","100","99.63",100,100.19
2,"S02002327","Shetland Islands","Early Mortality","2012/13",41,22,"North Mainland","Early Mortality North Mainland"," ","435","258.51",413,322
2,"S02002327","Shetland Islands","Emergency Admissions","2012/13",41,25,"North Mainland","Emergency Admissions North Mainland"," ","32249.32","18950.01",23493,17578
2,"S02002327","Shetland Islands","Out of Work Benefits","2013/14",-75.63,-55.08,"North Mainland","Out of Work Benefits North Mainland"," ","5.91","10.38",5.8,9
2,"S02002327","Shetland Islands","Participation Rate","2016/17",1.45,0.1,"North Mainland","Participation Rate North Mainland"," ","96.43","97.83",97.32,97.42
2,"S02002340","South Ayrshire","Attainment","2013/14",-0.4,0.33,"Ayr North Harbour, Wallacetown and Newton South","Attainment Ayr North Harbour, Wallacetown and Newton South"," ","4.99","4.97",5.56,5.58
2,"S02002340","South Ayrshire","Child Poverty","2014/15",2.74,-5.28,"Ayr North Harbour, Wallacetown and Newton South","Child Poverty Ayr North Harbour, Wallacetown and Newton South"," ","38.01","36.97",16.55,17.42
2,"S02002340","South Ayrshire","Crime Rate","2012/13",27,35,"Ayr North Harbour, Wallacetown and Newton South","Crime Rate Ayr North Harbour, Wallacetown and Newton South"," ","5025.44","3672.89",1948,1258
